"STATION_ID","BEGIN","END","STATION_HEIGHT","LAT","LON","STATION_NAME","BUNDESLAND"
"00044",1969-01-01,2020-06-09,44,52.9336,8.237,"Gro<U+00DF>enkneten","Niedersachsen"
"00096",2019-04-09,2020-06-09,50,52.9437,12.8518,"Neuruppin-Alt Ruppin","Brandenburg"
"00142",1955-01-01,2020-06-09,511,48.406,11.3117,"Altom<U+00FC>nster-Maisbrunn","Bayern"
"00150",1951-01-01,2020-06-09,215,49.7273,8.1164,"Alzey","Rheinland-Pfalz"
"00151",1947-01-01,2020-06-09,382,49.4691,11.8546,"Amberg-Unterammersricht","Bayern"
"00161",1980-12-01,2020-06-09,75,50.4237,7.4202,"Andernach","Rheinland-Pfalz"
"00167",2004-09-01,2020-06-09,9,53.8412,13.6846,"Anklam","Mecklenburg-Vorpommern"
"00198",1954-01-01,2020-06-09,164,51.3745,11.292,"Artern","Th<U+00FC>ringen"
"00217",1941-01-01,2020-06-09,672,47.8774,11.3642,"Attenkam","Bayern"
"00232",1947-01-01,2020-06-09,461,48.4254,10.942,"Augsburg","Bayern"
"00257",1949-01-01,2020-06-09,240,48.727,8.2457,"Baden-Baden-Geroldsau","Baden-W<U+00FC>rttemberg"
"00282",1949-01-01,2020-06-09,240,49.8743,10.9206,"Bamberg","Bayern"
"00303",1993-08-20,2020-06-09,55,52.0614,13.4996,"Baruth","Brandenburg"
"00320",1879-01-01,2020-06-09,350,49.9667,11.5197,"Heinersreuth-Vollhof","Bayern"
"00342",2010-12-01,2020-06-09,103,52.317,8.1694,"Belm","Niedersachsen"
"00377",1947-01-01,2020-06-09,210,49.107,7.9967,"Bergzabern, Bad","Rheinland-Pfalz"
"00433",1948-01-01,2020-06-09,48,52.4675,13.4021,"Berlin-Tempelhof","Berlin"
"00445",1898-01-01,2020-06-09,85,51.8218,11.711,"Bernburg/Saale (Nord)","Sachsen-Anhalt"
"00460",1951-01-01,2020-06-09,363,49.2641,6.6868,"Berus","Saarland"
"00596",1947-01-01,2020-06-09,15,54.0028,11.1908,"Boltenhagen","Mecklenburg-Vorpommern"
"00603",1986-08-01,2020-06-08,144,50.729,7.2047,"K<U+00F6>nigswinter-Heiderhof","Nordrhein-Westfalen"
"00617",2004-06-01,2020-06-09,47,51.873,6.8863,"Borken in Westfalen","Nordrhein-Westfalen"
"00642",1966-01-01,2020-06-09,1,53.3517,8.4969,"Brake","Niedersachsen"
"00662",1961-01-01,2020-06-09,81,52.2915,10.4464,"Braunschweig","Niedersachsen"
"00691",1890-01-01,2020-06-09,4,53.045,8.7979,"Bremen","Bremen"
"00701",1949-01-01,2020-06-09,7,53.5332,8.5761,"Bremerhaven","Bremen"
"00755",1935-01-01,2020-06-09,340,49.5182,9.3213,"Buchen, Kr. Neckar-Odenwald","Baden-W<U+00FC>rttemberg"
"00757",1990-10-01,2020-06-09,445,47.9625,7.9983,"Buchenbach","Baden-W<U+00FC>rttemberg"
"00760",1976-06-01,2020-06-09,82,53.3629,9.9435,"Rosengarten-Klecken","Niedersachsen"
"00766",1965-01-01,2020-06-09,477,50.1746,7.0595,"B<U+00FC>chel (Flugplatz)","Rheinland-Pfalz"
"00769",1972-01-01,2020-06-09,68,52.2817,9.0889,"B<U+00FC>ckeburg","Niedersachsen"
"00850",1974-08-01,2020-06-09,39,52.5959,10.0296,"Celle","Niedersachsen"
"00853",1882-01-01,2020-06-09,418,50.7913,12.872,"Chemnitz","Sachsen"
"00856",1998-01-01,2020-06-09,551,47.8843,12.5404,"Chieming","Bayern"
"00867",1947-01-01,2020-06-09,344,50.3066,10.9679,"Lautertal-Oberlauter","Bayern"
"00880",1887-01-01,2020-06-09,69,51.776,14.3168,"Cottbus","Brandenburg"
"00917",1995-08-01,2020-06-09,162,49.8809,8.6779,"Darmstadt","Hessen"
"00953",1950-08-01,2020-06-09,481,49.7619,7.0542,"Deuselbach","Rheinland-Pfalz"
"00963",1952-09-01,2020-06-09,38,52.5881,8.3424,"Diepholz","Niedersachsen"
"00979",1947-08-01,2020-06-09,314,50.7364,8.2672,"Dillenburg","Hessen"
"00983",2006-12-01,2020-06-09,419,48.5562,10.5599,"Dillingen/Donau-Fristingen","Bayern"
"00991",1954-09-01,2020-06-09,359,50.9116,13.7087,"Dippoldiswalde-Reinberg","Sachsen"
"01001",1948-07-01,2020-06-09,97,51.6451,13.5747,"Doberlug-Kirchhain","Brandenburg"
"01051",1936-01-01,2020-06-09,120,51.0248,13.775,"Dresden-Strehlen","Sachsen"
"01052",1993-05-01,2020-06-09,80,52.2174,12.1641,"Drewitz bei Burg","Sachsen-Anhalt"
"01072",1952-01-01,2020-06-09,107,49.4719,8.1929,"D<U+00FC>rkheim, Bad","Rheinland-Pfalz"
"01078",1952-01-01,2020-06-09,37,51.296,6.7686,"D<U+00FC>sseldorf","Nordrhein-Westfalen"
"01103",1978-01-01,2020-06-09,592,48.1003,11.9872,"Ebersberg-Halbing","Bayern"
"01197",1941-01-01,2020-06-09,460,48.9895,10.1312,"Ellwangen-Rindelbach","Baden-W<U+00FC>rttemberg"
"01200",1998-01-01,2020-06-09,3,54.0691,9.0105,"Elpersb<U+00FC>ttel","Schleswig-Holstein"
"01224",1975-11-01,2020-06-09,201,48.1378,7.8351,"Emmendingen-Mundingen","Baden-W<U+00FC>rttemberg"
"01246",2015-08-01,2020-06-09,104,51.8418,8.0607,"Ennigerloh-Ostenfelde","Nordrhein-Westfalen"
"01262",1992-05-17,2020-06-09,446,48.3477,11.8133,"M<U+00FC>nchen-Flughafen","Bayern"
"01270",1951-01-01,2020-06-09,316,50.9829,10.9608,"Erfurt-Weimar","Th<U+00FC>ringen"
"01279",1949-01-01,2020-06-09,268,49.6497,11.0074,"M<U+00F6>hrendorf-Kleinseebach","Bayern"
"01303",1935-01-01,2020-06-09,150,51.4041,6.9677,"Essen-Bredeney","Nordrhein-Westfalen"
"01332",1966-07-01,2020-06-09,471,48.4832,12.7241,"Falkenberg,Kr.Rottal-Inn","Bayern"
